Authors                                      	   Record Count	         % of 547
Kirkland S                                   	              1	     0.183
Kirkley A                                    	              1	     0.183
Kiss IZ                                      	              5	     0.914
Kittas A                                     	              1	     0.183
Kittur S                                     	              1	     0.183
Kivela M                                     	              1	     0.183
Klimm F                                      	              2	     0.366
Kling H                                      	              1	     0.183
Klishin AA                                   	              1	     0.183
Klonowski M                                  	              1	     0.183
Klymko C                                     	              2	     0.366
Knight G                                     	              1	     0.183
Knight PA                                    	              1	     0.183
Knopman D                                    	              1	     0.183
Knudstrup S                                  	              1	     0.183
Koeppe RA                                    	              1	     0.183
Kolda TG                                     	              3	     0.548
Koleva H                                     	              1	     0.183
Komjathy J                                   	              1	     0.183
Koniaris M                                   	              1	     0.183
Kooij RE                                     	              1	     0.183
Koponen IT                                   	              1	     0.183
Kopsidas A                                   	              1	     0.183
Korecka M                                    	              1	     0.183
Kowalksi N                                   	              1	     0.183
Kowall N                                     	              1	     0.183
Krainski L                                   	              1	     0.183
Kravitz D                                    	              1	     0.183
Kremen S                                     	              1	     0.183
Krings G                                     	              1	     0.183
Krishnamurthy V                              	              1	     0.183
Krishnan M                                   	              1	     0.183
Kryven I                                     	              1	     0.183
Kuehn C                                      	              2	     0.366
Kugiumtzis D                                 	              2	     0.366
Kuller L                                     	              1	     0.183
Kumar R                                      	              1	     0.183
Kumar S                                      	              1	     0.183
Kumari S                                     	              1	     0.183
Kun J                                        	              2	     0.366
Kuperman M                                   	              1	     0.183
Kuperman MN                                  	              1	     0.183
Kurauskas V                                  	              1	     0.183
Kushwaha R                                   	              1	     0.183
Kuznetsov A                                  	              1	     0.183
Kwapien J                                    	              1	     0.183
Kertész J                                    	              1	     0.183
Kivelä M                                     	              1	     0.183
Kivimäki I                                   	              1	     0.183
